dataset,train_share,test_loss,test_acc
cora,0.1,0.561,0.834
cora,0.1,0.562,0.833
cora,0.1,0.563,0.823
cora,0.1,0.563,0.830
cora,0.1,0.563,0.840
cora,0.1,0.564,0.820
cora,0.1,0.565,0.825
cora,0.1,0.565,0.828
cora,0.1,0.565,0.844
cora,0.1,0.567,0.829
cora,0.1,0.567,0.834
cora,0.1,0.568,0.826
cora,0.1,0.571,0.826
cora,0.1,0.571,0.830
cora,0.1,0.571,0.836
cora,0.1,0.572,0.821
cora,0.1,0.573,0.839
cora,0.1,0.574,0.838
cora,0.1,0.579,0.815
cora,0.1,0.579,0.825
cora,0.1,0.581,0.823
cora,0.1,0.581,0.844
cora,0.1,0.585,0.826
cora,0.1,0.587,0.827
cora,0.1,0.587,0.833
cora,0.1,0.590,0.825
cora,0.1,0.591,0.822
cora,0.1,0.593,0.821
cora,0.1,0.593,0.826
cora,0.1,0.598,0.821
cora,0.1,0.598,0.824
cora,0.1,0.599,0.815
cora,0.1,0.605,0.818
cora,0.1,0.605,0.834
cora,0.1,0.624,0.824
cora,0.1,0.633,0.807
cora,0.1,0.664,0.811
cora_ml,0.1,0.461,0.857
cora_ml,0.1,0.462,0.857
cora_ml,0.1,0.468,0.855
cora_ml,0.1,0.468,0.856
cora_ml,0.1,0.475,0.857
cora_ml,0.1,0.475,0.863
cora_ml,0.1,0.478,0.846
cora_ml,0.1,0.479,0.854
cora_ml,0.1,0.479,0.858
cora_ml,0.1,0.480,0.847
cora_ml,0.1,0.480,0.861
cora_ml,0.1,0.481,0.849
cora_ml,0.1,0.484,0.848
cora_ml,0.1,0.484,0.859
cora_ml,0.1,0.485,0.856
cora_ml,0.1,0.485,0.857
cora_ml,0.1,0.486,0.849
cora_ml,0.1,0.486,0.851
cora_ml,0.1,0.487,0.852
cora_ml,0.1,0.487,0.852
cora_ml,0.1,0.487,0.856
cora_ml,0.1,0.490,0.849
cora_ml,0.1,0.490,0.851
cora_ml,0.1,0.491,0.846
cora_ml,0.1,0.493,0.848
cora_ml,0.1,0.493,0.849
cora_ml,0.1,0.494,0.843
cora_ml,0.1,0.494,0.852
cora_ml,0.1,0.494,0.856
cora_ml,0.1,0.496,0.840
cora_ml,0.1,0.496,0.847
cora_ml,0.1,0.496,0.855
cora_ml,0.1,0.497,0.857
cora_ml,0.1,0.498,0.848
cora_ml,0.1,0.498,0.849
cora_ml,0.1,0.498,0.850
cora_ml,0.1,0.499,0.835
cora_ml,0.1,0.499,0.846
cora_ml,0.1,0.500,0.851
cora_ml,0.1,0.501,0.837
cora_ml,0.1,0.501,0.849
cora_ml,0.1,0.502,0.849
cora_ml,0.1,0.502,0.852
cora_ml,0.1,0.502,0.857
cora_ml,0.1,0.503,0.842
cora_ml,0.1,0.503,0.846
cora_ml,0.1,0.504,0.846
cora_ml,0.1,0.504,0.854
cora_ml,0.1,0.505,0.842
cora_ml,0.1,0.506,0.847
cora_ml,0.1,0.507,0.839
cora_ml,0.1,0.507,0.841
cora_ml,0.1,0.507,0.848
cora_ml,0.1,0.508,0.836
cora_ml,0.1,0.509,0.835
cora_ml,0.1,0.509,0.841
cora_ml,0.1,0.510,0.835
cora_ml,0.1,0.510,0.841
cora_ml,0.1,0.510,0.843
cora_ml,0.1,0.510,0.850
cora_ml,0.1,0.511,0.844
cora_ml,0.1,0.511,0.846
cora_ml,0.1,0.511,0.846
cora_ml,0.1,0.511,0.847
cora_ml,0.1,0.512,0.839
cora_ml,0.1,0.513,0.848
cora_ml,0.1,0.514,0.853
cora_ml,0.1,0.515,0.842
cora_ml,0.1,0.515,0.853
cora_ml,0.1,0.516,0.846
cora_ml,0.1,0.516,0.849
cora_ml,0.1,0.516,0.849
cora_ml,0.1,0.517,0.832
cora_ml,0.1,0.518,0.833
cora_ml,0.1,0.518,0.859
cora_ml,0.1,0.519,0.841
cora_ml,0.1,0.520,0.828
cora_ml,0.1,0.520,0.841
cora_ml,0.1,0.522,0.849
cora_ml,0.1,0.523,0.836
cora_ml,0.1,0.523,0.840
cora_ml,0.1,0.525,0.838
cora_ml,0.1,0.525,0.842
cora_ml,0.1,0.526,0.831
cora_ml,0.1,0.528,0.830
cora_ml,0.1,0.530,0.836
cora_ml,0.1,0.530,0.842
cora_ml,0.1,0.531,0.842
cora_ml,0.1,0.532,0.841
cora_ml,0.1,0.533,0.839
cora_ml,0.1,0.535,0.838
cora_ml,0.1,0.538,0.838
cora_ml,0.1,0.541,0.836
cora_ml,0.1,0.543,0.838
cora_ml,0.1,0.547,0.833
cora_ml,0.1,0.548,0.850
cora_ml,0.1,0.549,0.836
cora_ml,0.1,0.557,0.838
cora_ml,0.1,0.558,0.836
cora_ml,0.1,0.577,0.826
dblp,0.1,0.430,0.835
dblp,0.1,0.434,0.838
dblp,0.1,0.436,0.842
dblp,0.1,0.437,0.833
dblp,0.1,0.440,0.835
dblp,0.1,0.440,0.835
dblp,0.1,0.441,0.832
dblp,0.1,0.441,0.833
dblp,0.1,0.441,0.837
dblp,0.1,0.442,0.835
dblp,0.1,0.443,0.829
dblp,0.1,0.443,0.830
dblp,0.1,0.443,0.834
dblp,0.1,0.444,0.830
dblp,0.1,0.444,0.830
dblp,0.1,0.444,0.831
dblp,0.1,0.444,0.832
dblp,0.1,0.444,0.833
dblp,0.1,0.444,0.836
dblp,0.1,0.445,0.832
dblp,0.1,0.445,0.832
dblp,0.1,0.445,0.833
dblp,0.1,0.445,0.834
dblp,0.1,0.445,0.836
dblp,0.1,0.446,0.834
dblp,0.1,0.446,0.836
dblp,0.1,0.447,0.832
dblp,0.1,0.447,0.833
dblp,0.1,0.447,0.833
dblp,0.1,0.447,0.835
dblp,0.1,0.448,0.828
dblp,0.1,0.448,0.828
dblp,0.1,0.448,0.829
dblp,0.1,0.448,0.830
dblp,0.1,0.448,0.831
dblp,0.1,0.448,0.835
dblp,0.1,0.448,0.836
dblp,0.1,0.449,0.828
dblp,0.1,0.449,0.830
dblp,0.1,0.449,0.834
dblp,0.1,0.449,0.837
dblp,0.1,0.450,0.828
dblp,0.1,0.450,0.828
dblp,0.1,0.450,0.830
dblp,0.1,0.450,0.834
dblp,0.1,0.450,0.834
dblp,0.1,0.450,0.834
dblp,0.1,0.451,0.826
dblp,0.1,0.451,0.831
dblp,0.1,0.451,0.832
dblp,0.1,0.451,0.834
dblp,0.1,0.452,0.828
dblp,0.1,0.452,0.830
dblp,0.1,0.452,0.831
dblp,0.1,0.452,0.834
dblp,0.1,0.453,0.829
dblp,0.1,0.453,0.833
dblp,0.1,0.453,0.834
dblp,0.1,0.453,0.836
dblp,0.1,0.454,0.828
dblp,0.1,0.454,0.828
dblp,0.1,0.454,0.829
dblp,0.1,0.454,0.830
dblp,0.1,0.455,0.828
dblp,0.1,0.455,0.830
dblp,0.1,0.455,0.831
dblp,0.1,0.455,0.831
dblp,0.1,0.455,0.831
dblp,0.1,0.456,0.827
dblp,0.1,0.456,0.829
dblp,0.1,0.457,0.826
dblp,0.1,0.457,0.829
dblp,0.1,0.457,0.831
dblp,0.1,0.457,0.831
dblp,0.1,0.457,0.832
dblp,0.1,0.457,0.832
dblp,0.1,0.457,0.832
dblp,0.1,0.458,0.830
dblp,0.1,0.459,0.826
dblp,0.1,0.459,0.828
dblp,0.1,0.459,0.830
dblp,0.1,0.459,0.831
dblp,0.1,0.459,0.831
dblp,0.1,0.460,0.827
dblp,0.1,0.461,0.824
dblp,0.1,0.461,0.826
dblp,0.1,0.461,0.826
dblp,0.1,0.461,0.828
dblp,0.1,0.461,0.834
dblp,0.1,0.462,0.828
dblp,0.1,0.463,0.825
dblp,0.1,0.464,0.824
dblp,0.1,0.464,0.826
dblp,0.1,0.464,0.829
dblp,0.1,0.464,0.830
dblp,0.1,0.464,0.831
dblp,0.1,0.467,0.830
dblp,0.1,0.469,0.825
dblp,0.1,0.469,0.825
dblp,0.1,0.472,0.825
polblogs,0.1,0.138,0.966
polblogs,0.1,0.152,0.948
polblogs,0.1,0.152,0.959
polblogs,0.1,0.153,0.956
polblogs,0.1,0.153,0.959
polblogs,0.1,0.154,0.951
polblogs,0.1,0.154,0.952
polblogs,0.1,0.154,0.959
polblogs,0.1,0.155,0.958
polblogs,0.1,0.156,0.954
polblogs,0.1,0.157,0.949
polblogs,0.1,0.158,0.949
polblogs,0.1,0.158,0.954
polblogs,0.1,0.159,0.950
polblogs,0.1,0.159,0.953
polblogs,0.1,0.159,0.954
polblogs,0.1,0.160,0.952
polblogs,0.1,0.160,0.953
polblogs,0.1,0.161,0.946
polblogs,0.1,0.161,0.953
polblogs,0.1,0.163,0.950
polblogs,0.1,0.163,0.951
polblogs,0.1,0.163,0.954
polblogs,0.1,0.164,0.950
polblogs,0.1,0.164,0.952
polblogs,0.1,0.164,0.955
polblogs,0.1,0.164,0.956
polblogs,0.1,0.165,0.943
polblogs,0.1,0.166,0.945
polblogs,0.1,0.166,0.950
polblogs,0.1,0.166,0.950
polblogs,0.1,0.166,0.951
polblogs,0.1,0.166,0.953
polblogs,0.1,0.167,0.940
polblogs,0.1,0.167,0.946
polblogs,0.1,0.168,0.948
polblogs,0.1,0.168,0.951
polblogs,0.1,0.169,0.951
polblogs,0.1,0.169,0.951
polblogs,0.1,0.170,0.945
polblogs,0.1,0.170,0.949
polblogs,0.1,0.170,0.950
polblogs,0.1,0.170,0.951
polblogs,0.1,0.171,0.949
polblogs,0.1,0.171,0.952
polblogs,0.1,0.172,0.935
polblogs,0.1,0.172,0.943
polblogs,0.1,0.172,0.947
polblogs,0.1,0.172,0.948
polblogs,0.1,0.173,0.945
polblogs,0.1,0.173,0.949
polblogs,0.1,0.173,0.950
polblogs,0.1,0.174,0.942
polblogs,0.1,0.175,0.940
polblogs,0.1,0.175,0.944
polblogs,0.1,0.175,0.949
polblogs,0.1,0.175,0.950
polblogs,0.1,0.176,0.945
polblogs,0.1,0.176,0.946
polblogs,0.1,0.177,0.945
polblogs,0.1,0.181,0.941
polblogs,0.1,0.182,0.945
polblogs,0.1,0.182,0.947
polblogs,0.1,0.182,0.948
polblogs,0.1,0.183,0.935
polblogs,0.1,0.183,0.939
polblogs,0.1,0.183,0.944
polblogs,0.1,0.183,0.945
polblogs,0.1,0.183,0.946
polblogs,0.1,0.183,0.948
polblogs,0.1,0.184,0.942
polblogs,0.1,0.184,0.943
polblogs,0.1,0.185,0.942
polblogs,0.1,0.186,0.938
polblogs,0.1,0.186,0.943
polblogs,0.1,0.186,0.945
polblogs,0.1,0.187,0.942
polblogs,0.1,0.187,0.945
polblogs,0.1,0.188,0.945
polblogs,0.1,0.189,0.941
polblogs,0.1,0.190,0.945
polblogs,0.1,0.190,0.946
polblogs,0.1,0.190,0.947
polblogs,0.1,0.191,0.937
polblogs,0.1,0.192,0.938
polblogs,0.1,0.192,0.942
polblogs,0.1,0.193,0.940
polblogs,0.1,0.196,0.943
polblogs,0.1,0.197,0.948
polblogs,0.1,0.200,0.937
polblogs,0.1,0.206,0.939
polblogs,0.1,0.208,0.945
polblogs,0.1,0.210,0.945
polblogs,0.1,0.215,0.954
polblogs,0.1,0.216,0.940
polblogs,0.1,0.216,0.943
polblogs,0.1,0.217,0.945
polblogs,0.1,0.219,0.915
polblogs,0.1,0.224,0.944
polblogs,0.1,0.239,0.929
pubmed,0.1,0.400,0.846
pubmed,0.1,0.400,0.849
pubmed,0.1,0.401,0.848
pubmed,0.1,0.401,0.849
pubmed,0.1,0.401,0.851
pubmed,0.1,0.402,0.846
pubmed,0.1,0.403,0.848
pubmed,0.1,0.403,0.848
pubmed,0.1,0.403,0.848
pubmed,0.1,0.404,0.844
pubmed,0.1,0.404,0.847
pubmed,0.1,0.405,0.846
pubmed,0.1,0.405,0.846
pubmed,0.1,0.405,0.848
pubmed,0.1,0.405,0.850
pubmed,0.1,0.405,0.853
pubmed,0.1,0.406,0.847
pubmed,0.1,0.407,0.844
pubmed,0.1,0.407,0.847
pubmed,0.1,0.407,0.848
pubmed,0.1,0.407,0.849
pubmed,0.1,0.407,0.849
pubmed,0.1,0.408,0.845
pubmed,0.1,0.408,0.849
pubmed,0.1,0.408,0.849
pubmed,0.1,0.408,0.850
pubmed,0.1,0.409,0.841
pubmed,0.1,0.409,0.845
pubmed,0.1,0.409,0.845
pubmed,0.1,0.409,0.846
pubmed,0.1,0.409,0.847
pubmed,0.1,0.409,0.847
pubmed,0.1,0.409,0.847
pubmed,0.1,0.409,0.849
pubmed,0.1,0.409,0.849
pubmed,0.1,0.410,0.843
pubmed,0.1,0.410,0.844
pubmed,0.1,0.410,0.845
pubmed,0.1,0.410,0.845
pubmed,0.1,0.410,0.846
pubmed,0.1,0.410,0.846
pubmed,0.1,0.410,0.848
pubmed,0.1,0.411,0.843
pubmed,0.1,0.411,0.843
pubmed,0.1,0.411,0.844
pubmed,0.1,0.411,0.844
pubmed,0.1,0.411,0.845
pubmed,0.1,0.411,0.847
pubmed,0.1,0.412,0.844
pubmed,0.1,0.412,0.844
pubmed,0.1,0.412,0.845
pubmed,0.1,0.412,0.845
pubmed,0.1,0.412,0.845
pubmed,0.1,0.412,0.845
pubmed,0.1,0.413,0.840
pubmed,0.1,0.413,0.842
pubmed,0.1,0.413,0.844
pubmed,0.1,0.413,0.844
pubmed,0.1,0.413,0.845
pubmed,0.1,0.413,0.845
pubmed,0.1,0.413,0.845
pubmed,0.1,0.413,0.846
pubmed,0.1,0.413,0.846
pubmed,0.1,0.413,0.846
pubmed,0.1,0.414,0.843
pubmed,0.1,0.414,0.843
pubmed,0.1,0.414,0.843
pubmed,0.1,0.414,0.844
pubmed,0.1,0.414,0.844
pubmed,0.1,0.414,0.845
pubmed,0.1,0.414,0.845
pubmed,0.1,0.414,0.846
pubmed,0.1,0.414,0.846
pubmed,0.1,0.414,0.846
pubmed,0.1,0.414,0.846
pubmed,0.1,0.415,0.841
pubmed,0.1,0.415,0.841
pubmed,0.1,0.415,0.843
pubmed,0.1,0.415,0.843
pubmed,0.1,0.415,0.843
pubmed,0.1,0.415,0.843
pubmed,0.1,0.415,0.844
pubmed,0.1,0.415,0.845
pubmed,0.1,0.416,0.843
pubmed,0.1,0.416,0.843
pubmed,0.1,0.416,0.844
pubmed,0.1,0.417,0.842
pubmed,0.1,0.417,0.845
pubmed,0.1,0.418,0.840
pubmed,0.1,0.418,0.841
pubmed,0.1,0.418,0.842
pubmed,0.1,0.418,0.843
pubmed,0.1,0.419,0.841
pubmed,0.1,0.419,0.841
pubmed,0.1,0.419,0.845
pubmed,0.1,0.420,0.841
pubmed,0.1,0.421,0.840
pubmed,0.1,0.421,0.842
pubmed,0.1,0.421,0.845
pubmed,0.1,0.425,0.844
